hr,cnt
23,87.83104395604396
22,131.33516483516485
21,172.31456043956044
20,226.03021978021977
19,311.52335164835165
18,425.510989010989
17,461.45205479452056
16,311.9835616438356
15,251.2331961591221
14,240.94924554183814
13,253.66117969821673
12,253.31593406593407
11,208.1430536451169
10,173.6685006877579
09,219.30949105914718
08,359.01100412654745
07,212.0646492434663
06,76.04413793103448
05,19.88981868898187
04,6.352941176470588
03,11.727403156384504
02,22.86993006993007
01,33.3756906077348
00,53.89807162534435
